ID Cliente,Nome do Cliente,Data da Instalação,Tipo de Instalação,Endereço (Rua),Bairro,Cidade,Estado,CEP,Valor do Serviço (R$),Tipo de Pagamento,Nº Parcelas,Instituição Financeira,Origem do Cliente,Avaliação (1-5),Comentário do Cliente,Sistema (kWp),Nº de Placas,Indicação de Quem?,Vendedor Responsável
CLI012,Vinicius da Paz,2025-01-07,Comercial,"Viela de Cavalcanti, 1718",Vila Paraíso,Leão das Pedras,DF,66933848,47729.97,Boleto,0,,Panfleto,5,Blanditiis ad eaque cupiditate error dolorum.,15.2,50,,Bruno Silva
CLI013,Luna Nogueira,2023-06-30,Industrial,"Loteamento Novaes, 1952",Itapoa,Sousa de Monteiro,DF,11008-475,77166.73,Financiamento Bancário,24,Bradesco,Feira/Evento,3,Debitis quos sapiente blanditiis quas temporibus cum atque.,9.6,24,,Ana Clara
CLI014,Mariah da Rosa,2024-03-24,Residencial,"Condomínio de Machado, 1733",Carlos Prates,Garcia,MA,49093-378,79019.5,À Vista,0,,Panfleto,4,,16.4,52,,Carlos Oliveira
CLI015,Pietro Dias,2023-09-07,Comercial,"Via Vinícius Vasconcelos, 1385",São Marcos,Pires,BA,31444082,64132.9,À Vista,0,,Panfleto,5,Consequatur ratione perferendis dolor quos cupiditate.,18.5,46,,Eduardo Costa
CLI016,Lorenzo Andrade,2024-07-20,Industrial,"Recanto de Brito, 655",Vila São Dimas,Freitas,RS,22110-167,60721.98,Boleto,0,,Parceria,1,Suscipit beatae praesentium pariatur totam.,10.6,35,,Diana Santos
CLI017,Dr. Anthony Gabriel Alves,2024-05-01,Rural,"Fazenda de Cunha, 1085",Universitário,Souza,MG,71325708,11463.07,À Vista,0,,Google,2,A laboriosam enim impedit atque.,8.7,29,,Eduardo Costa
CLI018,Sr. Augusto Andrade,2025-02-09,Rural,"Praça Souza, 730",Ambrosina,Araújo de Ramos,PE,89290-298,46877.29,Financiamento Bancário,84,Sicoob,Outro,5,Nesciunt quisquam quibusdam ipsam.,10.5,32,,Carlos Oliveira
CLI019,Anthony Gabriel Cardoso,2023-08-10,Residencial,"Largo Azevedo, 1425",Vera Cruz,Pastor da Prata,SC,27514616,79488.61,Financiamento Bancário,84,Nubank,Site da Empresa,1,Dolore dicta quo dolorum eum.,5.5,16,,Diana Santos
CLI020,Theodoro Pacheco,2024-02-06,Residencial,"Jardim de Farias, 1482",Pongelupe,Guerra,GO,04164-403,47374.75,À Vista,0,,Feira/Evento,1,Tempora laboriosam id blanditiis maxime sint voluptates odit.,9.9,28,,Carlos Oliveira
CLI021,Bárbara Aragão,2024-10-17,Industrial,"Passarela de Novaes, 483",Conjunto Jatoba,Dias,RN,45320-326,69845.69,Cartão de Crédito,9,Mastercard,Google,4,Natus officia sit ratione minus sint dolorum non.,9.7,31,,Diana Santos
CLI022,Srta. Sophie Alves,2024-03-09,Residencial,"Travessa de Ferreira, 454",Santa Rita De Cássia,Cassiano,PA,80464552,75688.43,Boleto,0,,Feira/Evento,2,Culpa nulla unde molestiae corrupti.,14.1,36,,Bruno Silva
CLI023,Lívia Barros,2024-07-21,Comercial,"Largo de Moraes, 1705",Vila Rica,Fonseca,PB,34896240,11115.68,À Vista,0,,Indicação,4,Laboriosam labore similique enim praesentium.,18.2,58,Sara Cunha,Carlos Oliveira
CLI024,Srta. Mariana da Rocha,2024-08-09,Residencial,"Praia de da Costa, 1236",Venda Nova,Costela do Amparo,TO,06017-316,53128.15,Financiamento Bancário,36,Nubank,Google,2,,18.3,49,,Diana Santos
CLI025,Fernando Macedo,2025-02-08,Industrial,"Jardim Cavalcante, 1787",Jaqueline,Moraes de Teixeira,PE,39661043,15482.4,À Vista,0,,Indicação,4,Quibusdam consectetur ea non non deserunt.,9.3,24,Léo Costela,Ana Clara
CLI026,Matteo Cassiano,2023-09-12,Comercial,"Alameda Cavalcanti, 784",Vila Formosa,Aragão de Goiás,AM,67387-346,48190.89,Cartão de Crédito,6,Mastercard,Site da Empresa,2,,12.2,39,,Eduardo Costa
CLI027,Eduardo Mendes,2024-06-29,Rural,"Viaduto Gabriela Silveira, 387",Renascença,Caldeira,AP,87421-342,69202.83,Financiamento Bancário,48,Bradesco,Indicação,3,Facere quos est ipsam ducimus temporibus.,12.2,38,Laura Pereira,Carlos Oliveira
CLI028,Dra. Kamilly Ferreira,2024-07-14,Rural,"Área Silva, 859",Olhos D'água,Mendonça,RN,86019-266,72468.46,Financiamento Bancário,60,Bradesco,Panfleto,2,Ex minus quibusdam quia sequi laudantium esse.,9.1,29,,Eduardo Costa
CLI029,Sr. João Felipe Correia,2024-02-11,Industrial,"Fazenda de Rodrigues, 411",Jardim Montanhês,Aparecida,RR,28846765,46107.94,Cartão de Crédito,3,Visa,Panfleto,3,Officia laudantium cupiditate consequuntur autem.,3.9,12,,Diana Santos
CLI030,Josué Mendonça,2023-10-22,Industrial,"Área Porto, 256",Boa Viagem,das Neves Alegre,PE,62739656,23273.53,Cartão de Crédito,6,Visa,Parceria,3,Voluptatibus maxime placeat deleniti eligendi.,8.5,26,,Diana Santos
CLI031,Alice Pimenta,2024-06-11,Industrial,"Jardim Lopes, 825",Nova Vista,da Conceição do Sul,PR,76090207,74415.05,Boleto,0,,Mídias Sociais,1,,19.6,49,,Carlos Oliveira
CLI032,Melissa Pereira,2023-07-17,Industrial,"Vale Maria Cecília Andrade, 1927",Vista Do Sol,Fernandes,RO,68484169,71816.25,Financiamento Bancário,36,Nubank,Google,5,Voluptas minima magnam est veritatis.,19.3,62,,Fernanda Lima
CLI033,Lucas Mendonça,2024-12-12,Residencial,"Largo da Cunha, 355",Jardim América,Freitas Paulista,AM,38566413,18786.09,Boleto,0,,Indicação,2,Iure voluptas at ad praesentium quae.,7.5,21,André Carvalho,Bruno Silva
CLI034,Francisco Melo,2023-07-11,Rural,"Chácara de Nascimento, 1856",Jardim América,Câmara,AL,15351355,66727.13,Boleto,0,,Indicação,3,At et fuga doloribus eveniet.,6.4,17,Sr. Benício Garcia,Bruno Silva
CLI035,Arthur Gabriel da Luz,2025-05-29,Industrial,"Rodovia de Marques, 414",Floresta,Sousa,SE,24161916,63687.06,À Vista,0,,Mídias Sociais,4,,11.5,31,,Diana Santos
CLI036,Benjamim Câmara,2024-07-27,Residencial,"Parque Rodrigues, 1121",Vila Piratininga Venda Nova,Ramos da Praia,MG,24659905,47431.33,Financiamento Bancário,84,Caixa Econômica Federal,Indicação,1,Porro repudiandae magni cum.,15.3,48,Arthur Miguel da Mata,Ana Clara
CLI037,Sarah Pacheco,2024-09-09,Residencial,"Vale Lavínia Silva, 1969",Morro Dos Macacos,Novais,ES,18986732,41757.88,Boleto,0,,Indicação,4,,3.5,9,Dr. Juan Abreu,Bruno Silva
CLI038,Nathan Castro,2024-11-23,Residencial,"Esplanada Matheus Fogaça, 812",Vila Mantiqueira,Cunha,PA,90302750,41600.71,Financiamento Bancário,60,Nubank,Panfleto,5,Perspiciatis accusamus itaque debitis doloremque laudantium vitae.,5.2,17,,Bruno Silva
CLI039,Beatriz Rios,2024-01-15,Residencial,"Rua de Ferreira, 716",Sagrada Família,Albuquerque Paulista,MG,39702-034,52037.21,Cartão de Crédito,12,Elo,Parceria,1,,2.1,7,,Diana Santos
CLI040,Ana Sophia Sales,2024-06-29,Comercial,"Favela de Vargas, 167",Jardim Guanabara,Siqueira de Aparecida,ES,52259342,44814.9,Cartão de Crédito,3,Mastercard,Indicação,5,Sapiente porro quisquam ullam.,16.2,49,Sr. João Pedro Aparecida,Ana Clara
CLI041,Srta. Ana Vitória Pimenta,2023-07-17,Rural,"Praça Eduardo Cassiano, 597",João Paulo Ii,Machado da Mata,RN,54949602,57230.99,Boleto,0,,Google,1,,15.8,54,,Diana Santos
CLI042,Srta. Rafaela Siqueira,2023-10-06,Rural,"Recanto de Costa, 318",Manacas,Casa Grande de Rocha,TO,39722113,58113.59,Boleto,0,,Parceria,1,Error fugit numquam nobis.,15.1,43,,Ana Clara
CLI043,Emilly Rodrigues,2023-11-01,Rural,"Largo Gabrielly Alves, 146",Delta,Brito,AL,66489064,8656.74,Boleto,0,,Panfleto,2,Repudiandae earum animi deleniti perferendis eligendi eligendi blanditiis.,2.9,8,,Carlos Oliveira
CLI044,Valentina Aparecida,2025-03-08,Industrial,"Lago da Luz, 1241",Vila São João Batista,da Cruz do Norte,ES,82751-941,57146.58,Cartão de Crédito,9,Mastercard,Site da Empresa,1,Nam expedita architecto commodi velit quam quis.,18.9,57,,Diana Santos
CLI045,Levi Souza,2025-01-17,Comercial,"Loteamento de Moura, 843",Gutierrez,Cassiano,DF,23489-728,78047.68,Cartão de Crédito,12,Elo,Outro,3,,6.8,20,,Diana Santos
CLI046,Thomas Oliveira,2024-01-29,Comercial,"Área Freitas, 379",Vila São Rafael,da Conceição,RJ,51937-977,25691.61,Financiamento Bancário,36,Santander,Google,2,Saepe magnam molestiae dolore et alias nulla id.,10.7,35,,Eduardo Costa
CLI047,João Vitor Costa,2023-11-17,Rural,"Trecho de Leão, 970",Oeste,Casa Grande de Almeida,RS,38289-143,27215.95,Boleto,0,,Panfleto,2,Porro magni eum quis voluptatibus iusto odit ipsum.,4.8,15,,Diana Santos
CLI048,Cecilia Camargo,2023-10-02,Comercial,"Sítio de Sampaio, 381",Boa União 1ª Seção,Pereira da Prata,SE,79239992,43838.33,Cartão de Crédito,6,Elo,Outro,2,,3.7,12,,Fernanda Lima
CLI049,Sr. Levi Alves,2024-05-14,Comercial,"Feira de Moreira, 339",Vila Oeste,Pastor do Amparo,AL,28304936,76458.46,À Vista,0,,Mídias Sociais,5,Magni inventore omnis hic.,15.2,50,,Ana Clara
CLI050,Srta. Ana Clara Alves,2025-03-10,Rural,"Aeroporto Azevedo, 1744",São Vicente,Freitas,SC,88196-619,37098.22,À Vista,0,,Panfleto,3,Explicabo quis praesentium provident eaque distinctio omnis.,9.0,30,,Fernanda Lima
CLI051,Fernando Macedo,2023-11-25,Rural,"Via Enzo Nogueira, 600",Bonsucesso,Viana,AM,74070-092,32290.64,Cartão de Crédito,12,Mastercard,Google,2,,10.0,32,,Bruno Silva
CLI052,Igor Alves,2024-04-07,Industrial,"Área da Costa, 1054",Grota,Sampaio,AM,75828384,74907.29,À Vista,0,,Panfleto,2,,2.4,7,,Fernanda Lima
CLI053,Elisa Carvalho,2024-06-29,Industrial,"Sítio Rocha, 1723",Vila Do Pombal,Andrade,GO,93252713,21488.61,Financiamento Bancário,36,Outro,Feira/Evento,3,Praesentium illo ipsum totam nihil nostrum aperiam.,14.1,38,,Fernanda Lima
CLI054,Felipe Viana,2025-02-13,Comercial,"Sítio Guerra, 360",Nossa Senhora Do Rosário,Araújo da Prata,AC,10540086,13827.22,Financiamento Bancário,36,Bradesco,Parceria,3,Nesciunt reprehenderit impedit dolorum esse.,2.5,6,,Bruno Silva
CLI055,Natália da Rosa,2023-07-05,Rural,"Área Benjamin Cirino, 808",Novo Aarão Reis,Ramos,RN,63277209,42546.28,Financiamento Bancário,72,Nubank,Google,3,Fugiat alias placeat.,17.8,61,,Diana Santos
CLI056,Isaque Casa Grande,2025-01-26,Industrial,"Lago Maya Mendonça, 1947",São José,Câmara,SP,84610418,34098.39,Boleto,0,,Panfleto,2,Dolore ea voluptates inventore esse libero officia.,4.7,16,,Fernanda Lima
CLI057,Matteo Camargo,2023-12-01,Rural,"Jardim de Cavalcanti, 1181",São Paulo,Viana,RR,33755-127,9694.51,Financiamento Bancário,24,Caixa Econômica Federal,Indicação,3,,11.2,32,Sra. Maysa Moreira,Carlos Oliveira
CLI058,Melina Dias,2023-11-19,Comercial,"Área de Azevedo, 133",Santa Maria,Cassiano,PB,89068-558,59957.33,Financiamento Bancário,36,Santander,Site da Empresa,4,Sint quasi laboriosam alias dolor ad suscipit.,15.1,43,,Eduardo Costa
CLI059,Matheus Pimenta,2024-05-20,Industrial,"Residencial de Guerra, 843",Esperança,Dias,SC,33825-615,39993.66,Boleto,0,,Mídias Sociais,2,Nobis reiciendis atque dolor amet rem voluptatem ipsam.,7.4,22,,Fernanda Lima
CLI060,Maria Fernanda Mendes,2023-07-09,Industrial,"Vale Rodrigues, 1822",Planalto,Nogueira,RJ,31792362,56446.72,Cartão de Crédito,6,Elo,Panfleto,3,Hic sed quibusdam architecto doloremque.,10.9,33,,Ana Clara
CLI061,Josué Montenegro,2023-09-25,Residencial,"Campo Vitor das Neves, 911",Califórnia,Fonseca,SC,73911965,36567.65,Cartão de Crédito,3,Mastercard,Feira/Evento,4,,17.5,55,,Bruno Silva
CLI062,Antonella Dias,2024-11-11,Residencial,"Loteamento de Borges, 1429",Acaiaca,Garcia,PR,78073-146,24480.98,Financiamento Bancário,24,Nubank,Outro,4,Beatae reprehenderit saepe quisquam esse.,4.3,11,,Fernanda Lima
CLI063,Daniela Albuquerque,2023-10-26,Comercial,"Lago de Sousa, 460",Flavio De Oliveira,Pacheco,RO,82823-121,79468.01,Cartão de Crédito,6,Visa,Panfleto,4,Enim in dignissimos corrupti odit sit quia.,6.7,20,,Diana Santos
CLI064,Kamilly Caldeira,2024-10-21,Residencial,"Condomínio Siqueira, 1058",Olhos D'água,Nogueira de Machado,RN,53888190,15064.01,Cartão de Crédito,6,Mastercard,Feira/Evento,3,Cumque nulla provident eveniet nam aliquid at rerum.,10.4,27,,Fernanda Lima
CLI065,Olivia Castro,2023-11-04,Residencial,"Jardim Otto Dias, 1008",Jardim Felicidade,Martins,RO,19287554,60784.62,Financiamento Bancário,24,Nubank,Site da Empresa,4,Consectetur quae aut optio occaecati.,3.6,9,,Diana Santos
CLI066,Yasmin Caldeira,2024-02-06,Comercial,"Praia Ravi Lopes, 781",Minas Brasil,Cassiano do Amparo,BA,26018-646,78798.95,Cartão de Crédito,3,Elo,Site da Empresa,2,Officia nobis repellat quam expedita quidem earum.,12.6,43,,Diana Santos
CLI067,Antonella Mendonça,2024-04-09,Comercial,"Núcleo de Moreira, 1012",São João,Cavalcanti,PI,29953375,19218.18,À Vista,0,,Indicação,4,,13.0,41,Beatriz Fogaça,Bruno Silva
CLI068,Marcelo Ferreira,2024-12-02,Residencial,"Vereda Theo Cirino, 1888",Leticia,Teixeira,MT,79883517,58547.82,Boleto,0,,Indicação,2,,8.4,22,Maria Vitória Pires,Carlos Oliveira
CLI069,Guilherme Cunha,2025-01-26,Industrial,"Trevo Marina Rios, 213",São Sebastião,Gonçalves de Minas,SP,88767-672,47902.43,Cartão de Crédito,3,Elo,Indicação,5,Eum blanditiis provident numquam excepturi.,11.0,33,Vinicius Martins,Bruno Silva
CLI070,Mirella Pacheco,2023-08-17,Comercial,"Feira José Novaes, 649",Vila São Gabriel Jacui,Macedo,MA,40708-144,7952.22,À Vista,0,,Parceria,3,,17.0,51,,Ana Clara
CLI071,Sr. Caio Cirino,2023-11-24,Residencial,"Morro de Câmara, 1175",Vila Paraíso,Farias,AP,07638290,51233.44,À Vista,0,,Google,1,Suscipit praesentium hic nihil veniam impedit.,7.1,24,,Fernanda Lima
CLI072,Thomas da Luz,2025-05-18,Rural,"Vale de Almeida, 1362",Penha,Montenegro,PI,50534529,28198.96,Cartão de Crédito,3,Visa,Indicação,3,Nesciunt quos et minima.,12.0,34,Rael Mendonça,Eduardo Costa
CLI073,Ana Carolina Teixeira,2025-03-13,Industrial,"Viela Ravi Vargas, 149",Casa Branca,Cavalcante,MS,04674761,54148.58,Financiamento Bancário,84,Outro,Parceria,1,Eligendi ipsum a sed inventore eligendi.,10.7,29,,Carlos Oliveira
CLI074,Bento Correia,2025-05-08,Residencial,"Trevo Brayan Aparecida, 1217",Xodo-Marize,Cassiano de Fogaça,RO,61837-268,71293.48,À Vista,0,,Mídias Sociais,4,Doloremque qui quasi perspiciatis.,13.7,43,,Carlos Oliveira
CLI075,Arthur Gabriel Abreu,2025-01-29,Industrial,"Trecho de da Rocha, 280",Castanheira,Farias do Oeste,MT,52039560,42475.21,Boleto,0,,Panfleto,3,Aperiam sapiente sint delectus.,8.9,23,,Carlos Oliveira
CLI076,Lucca Azevedo,2025-05-26,Rural,"Rodovia Luigi Rodrigues, 175",Glória,Lopes,AC,63311-426,39613.96,Cartão de Crédito,9,Visa,Mídias Sociais,1,Rem facilis sint veniam beatae est.,2.6,7,,Fernanda Lima
CLI077,Melissa Novais,2024-02-21,Industrial,"Rodovia Davi Luiz Martins, 477",Monte Azul,Moraes,AM,66029588,39731.54,Cartão de Crédito,6,Elo,Outro,1,Iste voluptates repudiandae unde dolorem sequi reiciendis laboriosam.,16.6,49,,Ana Clara
CLI078,Rael Câmara,2023-11-19,Comercial,"Estação Emilly Montenegro, 1898",Alta Tensão 2ª Seção,Cavalcante,SP,69968-516,25316.22,Financiamento Bancário,60,Sicoob,Panfleto,5,Eius ab quas aut veniam et quod.,15.4,53,,Fernanda Lima
CLI079,Yan Silva,2025-01-13,Comercial,"Pátio Beatriz Abreu, 1784",Barão Homem De Melo 1ª Seção,Garcia Alegre,RR,61073328,12961.57,Boleto,0,,Google,3,,9.0,25,,Eduardo Costa
CLI080,José Pedro Nogueira,2023-10-02,Residencial,"Fazenda de Borges, 667",Pilar,Vasconcelos de Goiás,RO,12293043,18385.27,Cartão de Crédito,6,Elo,Parceria,5,Accusamus porro quas quaerat ipsum accusantium.,7.2,20,,Carlos Oliveira
CLI081,Sr. Ravy Viana,2024-03-22,Rural,"Chácara de Monteiro, 1870",Cidade Jardim Taquaril,Siqueira,GO,28096537,26720.0,Financiamento Bancário,72,Caixa Econômica Federal,Parceria,5,Deleniti ut quisquam ab porro minima.,15.6,51,,Fernanda Lima
CLI082,Sr. Theo Abreu,2025-03-25,Comercial,"Trevo Fogaça, 1581",Trevo,Ramos da Mata,GO,01883-122,8228.17,Financiamento Bancário,48,Sicoob,Mídias Sociais,3,Nemo nam sed veniam voluptate quaerat quibusdam.,15.9,43,,Eduardo Costa
CLI083,Matteo Freitas,2024-11-08,Comercial,"Alameda de Camargo, 262",Cenaculo,Rezende,RN,52398-968,22975.99,Financiamento Bancário,24,Santander,Panfleto,2,Cumque quos ab molestias optio.,11.6,32,,Ana Clara
CLI084,Sarah Alves,2024-07-24,Residencial,"Favela Abreu, 159",Urca,da Mata,AL,70104115,44025.34,Cartão de Crédito,6,Mastercard,Indicação,2,,7.9,23,Kamilly Cardoso,Bruno Silva
CLI085,Vicente Cassiano,2024-04-21,Comercial,"Favela Ana Vitória Nunes, 184",Manacas,Siqueira,AM,12748673,77156.13,Cartão de Crédito,3,Visa,Feira/Evento,1,,16.7,57,,Bruno Silva
CLI086,Melina Casa Grande,2025-01-11,Comercial,"Setor Pedro Brito, 501",Bela Vitoria,Duarte,DF,73990155,34947.55,À Vista,0,,Site da Empresa,3,Error iste provident.,11.7,37,,Bruno Silva
CLI087,Nicolas Novaes,2025-02-02,Industrial,"Trevo Julia Rezende, 1182",Europa,Pimenta,TO,18001639,71944.81,À Vista,0,,Indicação,3,Iusto illum magni nemo perferendis alias laborum.,2.8,8,Diego Sá,Ana Clara
CLI088,Srta. Ana Julia Barbosa,2023-12-15,Residencial,"Fazenda de Costela, 615",Mariano De Abreu,Fogaça,AP,74159834,41920.1,À Vista,0,,Parceria,1,,7.1,19,,Carlos Oliveira
CLI089,Marcela Cavalcante,2024-12-26,Rural,"Núcleo de Monteiro, 531",Ventosa,Andrade da Serra,SC,05556702,59389.39,Boleto,0,,Feira/Evento,5,Sunt illo fugiat odio nulla minima.,15.7,53,,Diana Santos
CLI090,Luiza Leão,2025-02-24,Comercial,"Campo Lunna Nogueira, 883",Petropolis,Rodrigues das Pedras,TO,48798856,50952.99,À Vista,0,,Outro,2,Id voluptates voluptatum laborum magnam molestias animi.,16.5,49,,Fernanda Lima
CLI091,Dra. Yasmin Nascimento,2025-04-27,Industrial,"Vale de Sousa, 284",Dom Joaquim,Melo da Mata,PB,33651-738,66451.86,À Vista,0,,Google,4,,5.9,18,,Bruno Silva
CLI092,João Guilherme Carvalho,2023-11-14,Residencial,"Ladeira Carolina Alves, 1477",Vila São Gabriel Jacui,Pacheco das Pedras,DF,48116968,14177.97,À Vista,0,,Outro,5,Facere autem itaque hic porro mollitia.,18.4,52,,Fernanda Lima
CLI093,Arthur Gabriel Rezende,2023-11-20,Industrial,"Viaduto Gael Henrique Machado, 282",Tres Marias,Rodrigues da Prata,DF,18075-260,37951.33,Boleto,0,,Mídias Sociais,5,,2.5,8,,Bruno Silva
CLI094,Rafaela Barros,2023-07-19,Rural,"Vila Castro, 1356",Madre Gertrudes,Mendonça Alegre,PA,57997878,51831.12,Boleto,0,,Panfleto,1,,7.2,23,,Fernanda Lima
CLI095,Ana Laura Rodrigues,2023-09-17,Comercial,"Área Benício Andrade, 499",Calafate,da Rosa do Sul,RJ,50715-174,5871.25,Cartão de Crédito,9,Visa,Panfleto,5,Odio iste ullam voluptatem.,10.8,37,,Carlos Oliveira
CLI096,Marcela Teixeira,2024-09-21,Rural,"Alameda Cirino, 1341",Conjunto Santa Maria,das Neves,MS,12560458,60202.68,Boleto,0,,Mídias Sociais,5,Voluptate modi corporis aperiam quibusdam.,14.1,40,,Bruno Silva
CLI097,Diego Vieira,2024-04-29,Residencial,"Aeroporto Ester Duarte, 1051",Leonina,Pinto,PB,00158-419,6363.11,Financiamento Bancário,48,Santander,Google,2,,3.7,12,,Carlos Oliveira
CLI098,Sra. Stella Mendonça,2025-05-10,Industrial,"Praça de Porto, 200",Milionario,da Conceição do Sul,AL,61979267,78752.7,Financiamento Bancário,72,Nubank,Mídias Sociais,3,,12.3,33,,Eduardo Costa
CLI099,João Felipe Melo,2024-04-06,Industrial,"Lago Ana Cecília Pacheco, 452",Vila Ouro Minas,Albuquerque,AC,77332-182,68751.86,Financiamento Bancário,84,Caixa Econômica Federal,Site da Empresa,2,Velit perspiciatis magni at neque voluptatibus.,14.6,40,,Eduardo Costa
CLI100,Mirella Garcia,2025-05-12,Residencial,"Lago de Nascimento, 1461",Grotinha,Gonçalves de Goiás,PI,13795-522,74673.29,Financiamento Bancário,24,Santander,Parceria,3,Corrupti iste alias fugiat ducimus dolore ut.,14.7,37,,Eduardo Costa
CLI101,Sr. Bryan Cardoso,2023-10-13,Residencial,"Campo Melo, 1649",Vila Aeroporto Jaraguá,Cavalcante,RR,19947-544,8197.88,À Vista,0,,Feira/Evento,2,,8.2,22,,Fernanda Lima
CLI102,Dra. Rafaela Rodrigues,2025-03-26,Residencial,"Praia Sophie Moreira, 1454",Nova America,Campos,RN,09746176,45928.66,À Vista,0,,Feira/Evento,2,Impedit occaecati debitis itaque distinctio enim at.,13.6,35,,Ana Clara
CLI103,Antônio Araújo,2024-09-11,Rural,"Estação Cunha, 560",Vila Vista Alegre,Costela de Vieira,MS,52912035,37389.28,Financiamento Bancário,60,Nubank,Indicação,2,Vel eaque tenetur quibusdam reprehenderit quasi.,2.9,9,Léo Lima,Bruno Silva
CLI104,Diogo Guerra,2024-04-21,Industrial,"Rodovia Castro, 1137",Flavio Marques Lisboa,Rocha,ES,91832836,31385.36,Cartão de Crédito,12,Mastercard,Google,3,Beatae et dignissimos quia suscipit sint.,8.2,25,,Eduardo Costa
CLI105,Gael Henrique Alves,2025-04-30,Industrial,"Estação Aurora Duarte, 1837",Padre Eustáquio,Rocha dos Dourados,RS,68867-859,15748.68,À Vista,0,,Mídias Sociais,5,Veritatis magnam sit nihil quos.,14.7,47,,Fernanda Lima
CLI106,Vitor Gabriel Rezende,2023-08-27,Industrial,"Recanto de Costa, 1320",Independência,Correia,SC,80036172,68709.87,Financiamento Bancário,24,Santander,Indicação,1,Aut cumque non distinctio fugit.,8.2,26,Dante Souza,Fernanda Lima
CLI107,Enrico Viana,2023-08-14,Industrial,"Campo Rezende, 1983",Boa União 1ª Seção,Sampaio das Pedras,SE,76511480,13839.83,Boleto,0,,Feira/Evento,1,Excepturi hic eius aperiam aut hic dolor.,2.5,6,,Fernanda Lima
CLI108,Manuella Campos,2024-07-11,Rural,"Recanto de Souza, 688",Gameleira,Marques do Norte,RR,65799-142,6734.06,Financiamento Bancário,48,Itaú,Google,5,Soluta laborum voluptatem voluptatem iure.,3.5,12,,Carlos Oliveira
CLI109,Sabrina Freitas,2024-01-02,Comercial,"Trevo Rios, 216",Tupi B,Cavalcante,GO,96741-511,32952.5,À Vista,0,,Indicação,2,Eum dignissimos numquam dolore modi fugit laboriosam.,14.8,42,João Vitor Rocha,Ana Clara
CLI110,Gael Henrique da Paz,2024-03-16,Rural,"Pátio Otávio Almeida, 1451",Nova Suíça,Fogaça do Amparo,TO,82859-150,37624.86,Financiamento Bancário,60,Bradesco,Parceria,3,Placeat architecto eligendi aperiam velit exercitationem ad.,2.8,7,,Bruno Silva
CLI111,Vitória Rocha,2023-06-14,Industrial,"Vale Ryan Farias, 1960",Minas Brasil,Pires das Pedras,RJ,64577448,50958.7,Financiamento Bancário,24,Nubank,Google,1,Repellendus velit ipsum ullam.,14.4,39,,Eduardo Costa
